	

       Rank     Score                   DocID

	1.	014073756591499875	Water
	2.	0.012575392766639446	United_States
	3.	0.01224075918501541	India
	4.	0.012203470543089182	Earth
	5.	0.010320515220034965	Europe
	6.	0.009638336822074902	Wind
	7.	0.00943385475632215	Ocean
	8.	0.007662965882588393	Tropical
	9.	0.007360466130581368	Climate
	10.	0.007249216329444436	Heat
	11.	0.006920272629592295	Atmospheric
	12.	0.006843767434092309	Energy
	13.	0.006747628192171878	Continent
	14.	0.006679880717877101	Japan
	15.	0.00667447610278417	Atlantic_Ocean
	16.	0.006321381974787286	North_America
	17.	0.0062674368164451185	Rain
	18.	0.006202586490768305	Weather
	19.	0.006130512754095997	Temperature
	20.	0.00588230800370535	France
	21.	0.0058243283293819325	Snow
	22.	0.00560713242976918	Asia
	23.	0.005598179440263738	United_Kingdom
	24.	0.00547907990089271	Mars
	25.	0.0053396472376692474	Precipitation
	26.	0.005327393321988026	Equator
	27.	0.005324328969876104	Antarctic
	28.	0.005107124296656774	China
	29.	0.004995656679818246	Brazil
	30.	0.004830888895759917	Tropical_cyclone
	31.	0.004602774419815275	Salt
	32.	0.0045516135980447296	Cloud
	33.	0.004441487509563717	Agriculture
	34.	0.004409671511559891	Tornado
	35.	0.004353239201766817	God
	36.	0.004332414888295441	Storm
	37.	0.004284731348658275	Pacific_Ocean
	38.	0.004273978216552987	Indian_Ocean
	39.	0.004272008158480977	English_language
	40.	0.00423521202820257	South_America
	41.	0.004153442041356296	California
	42.	0.004106460959143066	Korea
	43.	0.004092661861973582	Greenland
	44.	0.003973615078022776	World_War_II
	45.	0.003969505407484788	Wave
	46.	0.003959679466411417	Mexico
	47.	0.0038892254534766283	Iceland
	48.	0.0038401443695524995	Atmosphere
	49.	0.0038186606238970284	Christianity
	50.	0.0038157183473394272	Hurricane

